mag_id	mag_name	edger_trend	hmsc_trend	domain	phylum	class	order	family	genus	species
ERR4301269bin.7	cmag_001	increaser	increaser	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	RUG14156	NA	NA
ERR4303136bin.34	cmag_002	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus sp900547455
ERR4303137bin.12	cmag_003	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UMGS1781	NA
ERR4303137bin.30	cmag_004	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10873	NA
ERR4303137bin.34	cmag_005	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UMGS2069	UMGS2069 sp900557695
ERR4303137bin.35	cmag_006	increaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	NA
ERR4303138bin.28	cmag_007	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ERR4303138bin.37	cmag_008	decreaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	CAG-831	NA
ERR4303139bin.27	cmag_009	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1417	UBA1417 sp900552925
ERR4303140bin.1	cmag_010	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	ASF356	NA
ERR4303147bin.12	cmag_011	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	NA
ERR4303147bin.39	cmag_012	stable	stable	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	CAG-274	NA	NA
ERR4303147bin.44	cmag_013	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-594	NA
ERR4303147bin.48	cmag_014	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	NA
ERR4303147bin.52	cmag_015	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	NA	NA
ERR4303147bin.54	cmag_016	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	NA
ERR4303148bin.1	cmag_017	increaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis
ERR4303148bin.29	cmag_018	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-465	CAG-465	NA
ERR4303149bin.21	cmag_019	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-314	CAG-1435	CAG-1435 sp000433775
ERR4303149bin.27	cmag_020	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp002160915
